Video ID,Title,Category,Views,Duration,Likes,Comments,Uploaded Date,Date,Tags,Channel Title,Channel Total View,Channel Subscribers,Channel Video,Channel Keywords
gihFNJnONV0,全記録両陛下バッキンガム宮殿へ日本に関するコレクションに笑顔ウェストミンスター寺院にある無名戦士の墓を訪問現地時間6月25日,News & Politics,741454,30~60min,11502.0,545.0,2024-06-26,2024-06-27,"['news', 'ニュース', '日テレNEWS', '日テレ', '最新情報', 'NEWS', '事件', '事故', '地震', '政治', '社会', '国際', '首相', '大統領', 'news_ntv', 'latest news', 'live', 'ライブ', 'まとめ', 'UCuTAXTexrhetbOe3zgskJBQ', '日本テレビ', '日本', 'Japan', 'Tokyo', 'NTV', '報道', '@ntv_news', '日テレ', 'ニュース', '両陛下', 'イギリス', 'ロンドン', 'emperor', 'japan', 'japanese', 'buckinghampalace', 'emperor', 'empress', 'unitedkingdom', 'UK', 'horseguardsparade', 'buchkingham', 'kingcharles', 'princeofwales', 'guradofhonour']",日テレNEWS,3206533462,2320000,55060,"['ニュース', '最新ニュース', 'テレビ', '情報', '皇室', '皇族', '事件', '事故', '日テレNEWS', '日テレ', '日本テレビ', '政治', '経済', '国際', 'live', 'ライブ', '最新', 'ntv', 'news', '日本', 'Japan', 'ニュースライブ', 'latest', 'news', '配信', 'NEWS', 'LIVE']"
7EtUK3-Br9Y,7月1日新ツム公式最速プレイダッフィーフレンズ,Gaming,163572,10~30min,,148.0,2024-06-26,2024-06-27,"['ツムツム', '新ツム', '最速プレイ', 'ダッフィーアンドフレンズ', 'ダッフィー', 'ジェラトーニ', 'クッキーアン', 'おまけ効果付きツム', '大倉士門', '牧野真莉愛', 'モーニング娘24', 'ディズニー', 'Disney', 'ディズニーゲームワールド']",ディズニーゲーム公式,4878189,63800,81,
LJjRs11_hfg,ドジャース・大谷翔平 直近10戦8発2戦連続の25号球団新記録となる10試合連続打点衝撃の打球音に打った瞬間確信の先頭打者アーチ,Sports,1243782,1~5min,10993.0,2503.0,2024-06-27,2024-06-27,"['MLB', 'メジャーリーグ', 'EPL', 'プレミアリーグ', 'SPFL', 'スコティッシュプレミアシップ', 'SPOTV', '大谷翔平', 'ドジャース', 'ホワイトソックス']",SPOTVNOW,1117552359,1010000,9787,"['MLB', 'メジャーリーグ', 'プレミアリーグ', 'EPL', 'spotv', 'spotv', 'now']"
S3VOrBRbUEg,M1グランプリ2024 開催記者会見,Entertainment,393051,30~60min,6732.0,765.0,2024-06-26,2024-06-27,"['M-1', 'M-1グランプリ', 'M1', 'M1グランプリ']",M-1グランプリ,61116048,633000,1064,"['M', '1グランプリ', 'M', '1', '漫才', 'ネタ', '敗者復活戦', '芸人', 'お笑い']"
59Uy5evg838,THE RAMPAGE  24karats GOLD GENESIS MUSIC VIDEO,Music,340730,5~10min,12494.0,6247.0,2024-06-26,2024-06-27,"['RAMPAGE', 'EXILE', 'EXILE TRIBE', 'THE RAMPAGE', 'ランペ', 'ランページ', 'ランペイジ', 'RMPG', 'LDH', 'RIKU', 'リク', 'りく', '川村壱馬', 'かわむらかずま', 'かずま', '壱馬', '吉野北人', 'よしのほくと', 'ほくちゃん', 'ほくと', '北人', 'LIKIYA', 'リキヤ', 'りきや', 'じん', 'ジン', '神谷健太', 'かみやけんた', 'かみけん', '与那嶺瑠唯', 'よなみねるい', 'るい', '山本彰吾', 'やまもとしょうご', 'やましょう', 'やましょー', '岩谷翔吾', 'いわやしょうご', '浦川翔平', 'うらかわしょうへい', 'しょへー', 'しょうへい', '藤原樹', 'ふじわらいつき', 'いつき', '武知海青', 'たけちかいせい', 'かいせい', '海青', '長谷川慎', 'はせがわまこと', 'まこと', 'りゅう', 'ryu', '鈴木昂秀', 'すずきたかひで', 'たかひで', '昂秀', '後藤拓磨', 'ごとうたくま', 'たくま', '拓磨', 'kawamura', 'kazuma', 'hokuto', 'yoshino', 'jin', 'rui', 'shohei', 'fujiwara', 'itsuki', 'kaisei', 'makoto', 'takahide', 'takuma', 'THERAMPAGE', 'ランペイジ', 'RMPG']",THE RAMPAGE from EXILE TRIBE,187792380,30100,417,
UWaw1vktZjI,2024年 帝王賞JpnI第47回NAR公式,Sports,154603,1~5min,1375.0,,2024-06-26,2024-06-27,"['帝王賞', 'ダートグレード競走', '地方競馬']",NAR公式チャンネル,22168208,47600,1033,
leYwFhfHfEc,Hey! Say! JUMP  Ready to Jump PULL UP! Official Live Video,Entertainment,165445,1~5min,19196.0,1212.0,2024-06-26,2024-06-27,"['HeySayJUMP', '山田涼介', '知念侑李', '中島裕翔', '有岡大貴', '髙木雄也', '伊野尾慧', '八乙女光', '薮宏太', 'JUMP', 'HSJ', 'RyosukeYamada', 'YuriChinen', 'YutoNakajima', 'DaikiArioka', 'Keiinoo', 'HikaruYaotome', 'Kotayabu', 'PULLUP', 'SO-SO', 'ヒューマンビートボックス', 'ボイパ', 'ReadytoJump', 'RtJ', 'ダンス', 'フォーメーション', 'HeySayJUMP', 'ReadytoJump', 'SOSO']",Hey! Say! JUMP,303418638,767000,181,
Jn2cyA0oksk,勝利の女神NIKKESP放送夏イベント情報解禁,Gaming,355094,30~60min,8272.0,128.0,2024-06-26,2024-06-27,"['NIKKESUMMERLIVE', 'nikkesummerlive', 'NIKKE夏のプレミアム放送']",勝利の女神:NIKKE,38943836,195000,235,
YOBTyhn_l9Y,1週間VLOG6月のとある1週間ZARA購入品庭の手入れスーツケース新調テレビ収録や仕事風景友人とご飯などご紹介,People & Blogs,198778,10~30min,2882.0,90.0,2024-06-26,2024-06-27,,TAKIMAKI Channel / 滝沢眞規子Official,91573606,359000,188,"['料理', 'ファッション', 'コスメ', 'モデル', '芸能人', 'ママ', 'ママモデル', '豪華', '高級', '金持ち', 'fashion', 'make', 'cosme', 'kitchen', 'cooking', 'takimakitchen', 'タキマキッチン', 'タキマキ', '滝沢眞規子']"
lET4thB7Wlc,衝撃の事実そっくりさんを双子だと信じ40年来の付き合い・DNA鑑定の結果がヤバい,Entertainment,1280522,10~30min,26485.0,1074.0,2024-06-25,2024-06-27,"['なるみ', '岡村隆史', '過ぎるTV', 'ナインティナイン', '千鳥', 'ノブ', '大悟', '相席食堂', 'かまいたち', 'これ余談なんですけど', '山内健司', '濱家隆一', 'やすとも', 'いたって真剣です', '松本人志', '探偵！ナイトスクープ', '石田 靖', '間 寛平', '田村 裕', '竹山 隆範', 'カンニング竹山', '真栄田 賢', '麒麟', 'スリムクラブ', 'せいや', '霜降り明星', 'ゆりやんレトリィバァ', '桂二葉', 'カベポスター', '永見大吾', 'ナイトスクープ', 'ナイトinナイト', 'ABC', '松本人志', '間寛平', '石田靖', '竹山隆範', '田村裕', '真栄田賢', 'せいや', 'ゆりやんレトリィバァ']",ナイトinナイト【ABCテレビ公式】,145532971,135000,649,
