Video ID,Title,Category,Views,Duration,Likes,Comments,Uploaded Date,Date,Tags,Channel Title,Channel Total View,Channel Subscribers,Channel Video,Channel Keywords
5eBcxI4awLA,sub 1년의 고민끝에 내린 결정  인테리어 미팅ㅣ셀프 페인팅ㅣLG오브제 냉장고장 제작 중문 설치,People & Blogs,263590,30~60min,6648.0,1175,2024-07-01,2024-07-07,"['college vlog', 'living alone diaries', 'productive life', '직장인 브이로그', '유학생 브이로그', '자취생 브이로그', '대학생 브이로그', '스터디윗미', '집밥 브이로그', '유학생', '중국 유학', '영국 유학', '영국 브이로그', '런던 브이로그', 'london vlog', '라보에이치', '올리브영앰플', '산리오굿즈']",deemd 딤디,142011233,993000,242,
FAAzKwVn7RU,놀면 뭐하니? 원조 옥천 여신 VS 옥천 여시?  놀면뭐하니? 유재석 이미주 딘딘 MBC240706방영,Entertainment,1616125,10~30min,12516.0,2233,2024-07-06,2024-07-08,"['놀면 뭐하니?', '놀면뭐하니', '유재석', '놀면뭐하니', '놀뭐', '유재석', '옥천에가면']",놀면 뭐하니?,1312932238,1440000,1908,
T0YnkohS6Vk,이것은 일등석 리뷰인가 먹방인가 ㅣ 먹짱이 알려주는 일등석 뽕 뽑는 꿀팁 대한항공 일등석 리뷰 KOREAN AIR FIRSTCLASS REVIEW,People & Blogs,373927,30~60min,6128.0,357,2024-07-07,2024-07-08,"['아옳이', '김민영']",아옳이,115130424,760000,180,
uYCAlHJI0bU,유퀴즈온더블럭 대한민국만세에게 송일국이란? 음 패쓰 감동은 없고 재미만 있는 삼둥이 발언에 정신 못 차리는 아버지 송일국,Gaming,2860006,10~30min,39660.0,2956,2024-07-04,2024-07-08,"['CJ100', 'YouQuizontheBlock', 'tvN', 'tvN D ENT', '대한', '대한민국만세', '대한민국만세 근황', '대한민국만세 레전드', '대한민국만세 만두', '대한민국만세 먹방', '대한민국만세 삼둥이', '대한민국만세 슈돌', '대한민국만세 유퀴즈', '만세', '민국', '삼둥이', '삼둥이 갈비만두', '삼둥이 근황', '삼둥이 노래', '삼둥이 대한', '삼둥이 만두', '삼둥이 만세', '삼둥이 먹방', '삼둥이 민국이', '삼둥이 슈돌', '송일국', '송일국 근황', '송일국 드라마', '송일국 먹방', '송일국 삼둥이', '송일국 삼둥이 유퀴즈', '슈퍼맨이돌아왔다', '슈퍼맨이돌아왔다 삼둥이', '유재석', '유재석 유튜브', '유재석 조세호', '유퀴즈', '유퀴즈 251화', '유퀴즈 다시보기', '유퀴즈 레전드', '유퀴즈 명언', '유퀴즈 모음', '유퀴즈 몰아보기', '유퀴즈 웃참', '유퀴즈 유재석', '유퀴즈 조세호', '유퀴즈 하이라이트', '유퀴즈온더블럭', '유퀴즈온더블럭 251화', '조세호', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호']",tvN D ENT,11391232913,4880000,40301,"['tvN', 'D', 'tvN', 'D', 'ENT', '티디이', '티비엔', '티비엔디엔터', 'tvn', 'ent', '티비엔엔터']"
MXqawAprW-8,충격 쯔양 인바디와 3대운동 대공개 헬스장 PT쌤도 놀란 신비한 인체,People & Blogs,349926,10~30min,6581.0,560,2024-07-07,2024-07-08,"['real sound', '리얼사운드', 'social eating', 'mukbang', 'eating show', '먹방', '맛집', '쯔양', 'v-log', '브이로그', '쯔양 브이로그', '쯔양 v-log', '쯔양 vlog', '헬린이']",쯔양 브이로그  V-LOG TZUYANG,1625029,105000,3,
t9Q7QEPnDaQ,SUB 이나연 내집찾기  밤비와 희두가 만나면 생기는 일  시그니엘 집투어 l 여름철 쿠션 휘뚤마뚤템  여름 메이크업 GRWM,People & Blogs,171308,10~30min,1939.0,154,2024-07-07,2024-07-08,,일단이나연 NAYEON,77751756,411000,243,
E5kf6x8CoIs,KBO 올스타그냥 싹다 모아봤어요 2024 KBO 올스타전 최고의 퍼포먼스는?  76  KBO 모먼트  야구 하이라이트,Sports,380145,30~60min,5968.0,453,2024-07-06,2024-07-08,"['야구', 'kbo', '기아타이거즈', '한화이글스', '롯데자이언츠', '엘지트윈스', '두산베어스', 'ssg랜더스', '삼성라이온즈', 'kt위즈', '키움히어로즈', 'nc다이노스', 'kia타이거즈', 'lg트윈스', 'baseball', '한국야구', '프로야구', '황성빈', '야구', 'KBO', '엘지트윈스', 'KT위즈', 'SSGLanders', 'NC다이노스', '두산베어스', '기아타이거즈', '롯데자이언츠', '삼성라이온즈', '한화이글스', '키움히어로즈']",KBO,123857527,180000,3301,"['야구', 'KBO', 'LG트윈스', '기아타이거즈', '롯데자이언츠', '한화이글스', '두산베어스', '삼성라이온즈', 'KT위즈', 'NC다이노스', '키움히어로즈', 'SSG랜더스', '투수', '타자', '프로야구', '한국야구', '신한은행', '크보', '한국야구', '프로야구']"
GMc31xM7I9s,대한민국 여름 핫플 1위 양양에서 찾은 맛집 풀코스  또간집 EP56,Entertainment,1166844,30~60min,12429.0,1495,2024-07-05,2024-07-08,"['맛집', '먹방', '찐맛집', 'mukbang', '여름', '여름방학', '방학', '여행', '풍자', '픙자', '퐁자', '홍자', '흥자', '도간집', '두번간집', '막집', '막방', '찐막집', '풀코스', '코스', 'EHrskwlq', 'ehrkswlq', 'vndwk', 'aktwlq', '양양', '강원도', '서핑', '바다', '바다여행', '풍자', '또간집', '먹방']",스튜디오 수제,609672099,1120000,481,
N0gqYc7ovFU,고현정 브이로그 4,People & Blogs,549686,10~30min,18458.0,1544,2024-07-06,2024-07-08,"['고현정', '나미브', '제주도', '베트남', '여배우']",고현정,5456944,287000,5,
_2HL-ogzzBU,안방1열 풀캠4K 베이비몬스터 FOREVER BABYMONSTER FullCamSBS Inkigayo 240707,Entertainment,1093697,1~5min,102659.0,6420,2024-07-07,2024-07-08,"['Inkigayo', '인기가요직캠', '안방1열직캠', '스브스케이팝', '스브스 직캠', '인기가요', '인가', '음방', '음악방송', '베이비몬스터', 'BABYMONSTER', 'FOREVER', '베이비몬스터 컴백', '베이비몬스터 신곡', '베이비몬스터 직캠', '베이비몬스터 페이스캠', '베이비몬스터 노래', '베이비몬스터 음방', '베이비몬스터 음악방송', '베이비몬스터 인가', '베이비몬스터 인기가요', '베이비몬스터 무대', '베이비몬스터 안무', '루카', '아사', '인기가요', '베이비몬스터', 'FOREVER']",SBSKPOP X INKIGAYO,6804902948,8070000,36381,"['SBS', '생방송', '인기가요', '출연', '가수', 'entertainment', 'BTS', '방탄소년단', '엑소', 'exo', '트와이스', 'TWICE', '블랙핑크', 'Blackpink', '마마무', '여자친구', '레드벨벳', 'kpop', 'sbs', 'kpop', 'play', '모모랜드', 'MOMOLAND', 'EXID', '오마이걸', '위너', 'iKON', '워너원', 'AB6IX', '러블리즈', 'Lovelyz', '아이즈원', 'IZONE', '아이오아이', '빅뱅', 'BIGBANG', '선미', 'sunmi', '청하', 'chungha', '아스트로', '골든차일드', '더보이즈', '위키미키', '구구단', '우주소녀', '라붐', '다이아', '에이프릴', '세븐틴', 'GOT7', '뉴이스트', '소녀시대', '원더걸스', 'TVXQ', '인피니트', 'TXT', 'sbs', 'kpop', '음방']"
